LoadedPanels,MeltLabels,Scaling,Conc,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
KPC,KPC,3.029666336,5.00E+04,-0.005677687,-0.001890755,0.000506992,-6.80E-05,0.001710843,0.002414291,0.001646555,0.002023717,0.001823487,0.001949386,-0.000326098,0.000979556,0.001143536,-0.000262842,0.000757498,-0.000352614,0.00187387,0.004866584,0.01184018,0.02539212,0.05166595,0.1074319,0.2034766,0.3524933,0.5599372,0.8065057,1.059662,1.303748,1.528352,1.727731,1.909129,2.069461,2.216635,2.348305,2.461322,2.570165,2.66031,2.745552,2.816611,2.877274
KPC,KPC,3.055431787,1.00E+04,-0.008392067,-0.003831062,0.001038739,0.001207172,0.001066811,0.00259651,0.001974996,0.003815987,0.003098023,0.000626897,0.001442486,0.001760322,0.001948644,0.00034176,0.000326447,0.000536431,-0.001017133,-0.000373908,-0.000205787,0.000790853,0.004352568,0.01327798,0.02989753,0.06353162,0.129906,0.2424811,0.4183708,0.6489236,0.9141952,1.181494,1.435585,1.66403,1.872396,2.057118,2.223874,2.36992,2.502651,2.616925,2.717411,2.807528
KPC,KPC,2.909402942,5.00E+03,-0.01015895,-0.002241245,0.000261142,0.001663401,0.001630461,0.003069154,0.002471057,0.003227635,0.001695777,0.002548777,0.002275883,0.0012176,0.001122051,0.001165159,-0.000264002,-0.00070614,-0.001076686,-0.00077178,-0.001136185,0.000477637,0.000893853,0.006432371,0.01891003,0.04485472,0.08589133,0.1741259,0.3213159,0.5266474,0.7740089,1.035546,1.286899,1.518568,1.728737,1.916328,2.082104,2.231547,2.364964,2.478208,2.575674,2.663772
NDM,NDM,2.439078598,1.00E+04,-0.004002793,-0.000498832,-0.000351761,-0.000372006,-0.000206035,0.002285135,0.000454428,0.001018407,0.002864228,0.000574407,0.001129012,0.001190668,-0.000791913,0.000488466,0.000565027,-0.000661704,0.000619293,-0.000801622,-7.21E-05,-0.000719236,0.000297122,0.000903787,0.005949949,0.0130377,0.02849608,0.0587238,0.117535,0.2110132,0.3525679,0.5424454,0.7542111,0.968144,1.176113,1.372019,1.54212,1.700406,1.835006,1.953453,2.053673,2.13059
NDM,NDM,2.568703723,5.00E+03,-0.003406727,-0.001701907,-0.000711415,0.000488585,0.001576462,0.002278486,0.00173241,0.001490071,0.00078503,0.00099331,0.001878574,-0.000426097,-0.00064238,-0.001227859,-0.001104562,0.000168019,-0.000746392,-0.000373917,-0.000751302,0.000149968,0.000179238,0.001098274,0.002698496,0.006688974,0.01639758,0.0319876,0.06642002,0.1264272,0.2234747,0.3702596,0.5561025,0.7676434,0.9815242,1.190337,1.383984,1.568832,1.734262,1.881848,2.008164,2.114667
KPC,KPC,3.109939566,1.00E+06,-0.003496279,-0.001521794,0.00034843,0.00107515,0.001242052,0.001559902,0.001249308,0.002277021,0.001703558,0.000435992,0.002247362,6.71E-06,0.005533997,0.009841295,0.02255013,0.04542473,0.09237412,0.175993,0.3165042,0.5182566,0.766525,1.029051,1.28462,1.516895,1.726011,1.909047,2.075869,2.221039,2.348712,2.46296,2.565502,2.656769,2.738109,2.807278,2.867337,2.921703,2.970692,3.009729,3.046071,3.073471
KPC,KPC,3.044658933,5.00E+05,-0.004428741,-0.000142584,0.000901372,7.97E-05,0.002203938,0.001543106,0.000146273,0.00158284,0.000681689,8.49E-05,0.001381,0.00197091,0.002461707,0.004005518,0.0110828,0.0213583,0.04399414,0.08797579,0.1623492,0.2903987,0.4719531,0.7017404,0.9538172,1.201803,1.430312,1.634979,1.821286,1.983458,2.12992,2.260094,2.377206,2.480355,2.573629,2.655085,2.729323,2.7927,2.852498,2.901583,2.948223,2.985995
KPC,KPC,3.006599505,1.00E+05,-0.004052323,-0.001074208,0.000509756,0.000725499,0.002268149,0.000403942,0.00072448,0.001774376,0.000948645,0.000148694,0.000993469,0.000489677,0.000258172,0.000160743,0.001520799,0.00133827,0.006562227,0.01537884,0.03011789,0.06238072,0.1208716,0.2222414,0.3830055,0.5966484,0.835817,1.085105,1.321078,1.532607,1.724065,1.899122,2.052439,2.193622,2.318785,2.42982,2.531461,2.621145,2.701787,2.768432,2.832375,2.889319
KPC,KPC,3.029666336,5.00E+04,-0.003350661,-0.000753184,-1.63E-05,0.00045047,0.000679378,0.001375152,0.001098006,0.000146408,0.000665835,0.002684065,0.000643651,0.001291636,0.000250603,-0.000852579,0.000960478,0.003816661,0.008120027,0.01687772,0.0385959,0.07589591,0.1507573,0.2783888,0.475322,0.7295666,1.018114,1.307328,1.576576,1.817785,2.031017,2.219267,2.390761,2.540709,2.673754,2.791141,2.896197,2.990244,3.070112,3.139099,3.202306,3.252871
KPC,KPC,3.202261815,1.00E+04,-0.00312934,-0.001874322,0.000743245,0.001093318,-0.000181895,0.001791036,0.001568767,0.00126644,0.000488519,0.001392712,0.001134491,-0.000855579,0.000368328,-0.000214677,0.000332106,-0.002052984,-0.000764264,-0.000678127,0.000927661,0.00422018,0.007497151,0.01788556,0.03729297,0.07406829,0.1458866,0.2704248,0.4623175,0.7113824,0.9955028,1.278411,1.546138,1.788303,2.007731,2.198002,2.370421,2.520664,2.653052,2.769389,2.869701,2.960621
KPC,KPC,3.157971802,5.00E+03,-0.002810695,-0.000914852,0.00013217,0.00052531,0.001266209,0.001539354,-0.000756979,0.000900856,0.000689171,0.000920363,0.001387369,0.000731757,-0.000355732,-0.000650705,0.000361236,-0.001667933,0.000643418,-0.000667903,-0.000194341,0.001596301,0.004519869,0.009681957,0.02042165,0.0441388,0.08657052,0.168434,0.3093848,0.5153672,0.7765067,1.060133,1.340444,1.599298,1.831886,2.038259,2.221427,2.386278,2.532595,2.66104,2.77811,2.88046
