LoadedPanels,Conc,Scaling,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM_KPC,1.00E+04,3.06181362,-0.006606025,-0.002762786,0.000191547,-0.000474733,0.002155922,0.001671937,0.002114078,0.002267741,0.002353288,0.002096656,0.001155743,0.001079543,0.001677912,0.000427847,0.000408796,0.000310586,0.000111239,3.18E-05,0.002345512,0.005342128,0.01193947,0.02713446,0.05775489,0.1205402,0.2251024,0.3867777,0.5988883,0.841203,1.093645,1.337657,1.567178,1.771943,1.960008,2.12806,2.27891,2.412126,2.535522,2.638473,2.732151,2.817135
NDM_KPC,1.00E+04,3.124970669,-0.00868897,-0.002664573,-0.001005772,0.001091794,0.001622941,0.002318857,0.003649976,0.001754188,0.002751243,0.003016814,0.001736836,0.002201858,0.000727134,0.001683961,-6.75E-05,-0.001109793,0.000384546,-0.001219746,-0.000610731,0.00148366,0.004738969,0.01236774,0.02653101,0.06308588,0.1311965,0.2535879,0.44234,0.7015075,0.9936554,1.288998,1.563388,1.809976,2.022173,2.209656,2.37351,2.519342,2.645764,2.755045,2.848865,2.930145
VIM_NDM_KPC,1.00E+04,3.112816583,-0.01026029,-0.003150817,-0.00042452,0.001499499,0.001631129,0.001390554,0.002942378,0.003065838,0.002687599,0.004034072,0.002382842,0.00313302,0.001476063,0.001483976,0.000936063,-0.000353674,-0.000448455,-0.001062932,-0.000746733,0.000647255,0.005453851,0.01322617,0.03183871,0.07184029,0.1455843,0.2759159,0.4720967,0.7241747,1.004254,1.284109,1.547621,1.780872,1.98905,2.175274,2.338089,2.480443,2.605948,2.716084,2.813504,2.898785
VIM,1.00E+04,2.567736362,-0.002815214,-0.001581803,-0.001000853,-0.000775694,-0.000640254,0.002586886,0.001485925,0.000914607,0.002050919,0.001615722,0.002602822,0.000691302,0.001060241,-0.001131914,0.000316422,-0.00031557,-0.000367328,0.002890493,0.003620977,0.01068199,0.0242183,0.05062766,0.1055386,0.1919803,0.3276838,0.499962,0.6835784,0.8686424,1.045376,1.212236,1.365827,1.51067,1.646003,1.772284,1.888901,1.994169,2.09201,2.179711,2.258847,2.332319
NDM,1.00E+04,2.246193965,-0.003388976,-0.003240918,-0.002701408,-0.001311294,0.001727091,0.002396407,0.002709395,0.001076836,0.003520163,0.00251222,0.00095354,0.001926438,0.001912127,0.00057723,-0.000557291,0.000296191,-0.001850567,-0.001220058,-0.00189373,-0.000137759,0.001855162,0.01116118,0.02658144,0.06067646,0.1265016,0.2320288,0.3833302,0.5625074,0.7583739,0.9564422,1.14821,1.327716,1.489794,1.633216,1.759238,1.860467,1.947071,2.00975,2.051636,2.079782
KPC,1.00E+04,2.74571343,-0.004147131,-0.001494421,-0.000679586,-0.000195294,0.000822459,0.000919182,0.001014999,0.001312385,0.00159869,0.003678769,0.001693882,0.000813023,0.001810992,-0.000312308,-0.000790882,-0.000832645,0.000661838,-0.000962618,0.000714086,0.007264175,0.01296242,0.02795086,0.05757078,0.1156778,0.2133815,0.3617638,0.5535405,0.7690594,0.9882507,1.200576,1.39502,1.571171,1.740544,1.885179,2.022278,2.142063,2.25295,2.349108,2.433847,2.511544
VIM_NDM,1.00E+04,2.658566808,-0.006589468,-0.001675168,-0.000948938,0.001335464,0.002186869,0.001377382,0.003161979,0.000899247,0.001285044,0.002649939,0.001305497,0.000859836,0.001941519,0.000131075,-0.001206129,-0.000847562,-0.000863653,-0.000930696,0.00284687,0.006269861,0.01364209,0.03108839,0.07192448,0.1453959,0.268991,0.4415455,0.6477127,0.8633302,1.074667,1.269004,1.451199,1.620861,1.773456,1.914637,2.035979,2.148965,2.246156,2.329814,2.399633,2.460586
VIM_KPC,1.00E+04,3.25080498,-0.004097665,-0.002743865,0.000944246,0.000678139,-0.000194641,0.001116357,0.001544403,0.000906532,0.001965756,0.001179959,0.000825623,0.001398358,0.000736733,0.001003327,-0.000210576,0.000581411,-0.000374301,0.000969427,0.001539128,0.005086386,0.01063998,0.02265004,0.05099939,0.1024531,0.1964426,0.352381,0.5630006,0.8155252,1.086026,1.356876,1.612856,1.843682,2.050782,2.239025,2.406285,2.552453,2.683493,2.797517,2.896101,2.986318
NDM_KPC,1.00E+04,3.208671272,-0.004057281,-0.001253907,-0.000724051,-0.001027905,0.00145379,3.98E-05,0.001786305,0.001641781,0.001964976,0.001708831,0.001532416,0.001024819,0.001453271,0.001258925,-0.000745672,0.001112833,-0.000857319,-0.001105758,-0.000617121,0.002927457,0.006151523,0.01507085,0.03497236,0.073905,0.1493098,0.2803681,0.4866379,0.7575092,1.061698,1.36197,1.638342,1.883842,2.096536,2.287373,2.450258,2.597093,2.723231,2.832092,2.932669,3.016288
VIM_NDM_KPC,1.00E+04,3.208021265,-0.001055967,-0.000181013,-0.000942046,-0.000321069,2.11E-05,-0.000628809,0.000376808,-0.001232887,0.000744849,0.002145054,0.000550975,0.001936131,0.000820734,0.001187782,0.001145149,-4.89E-05,-0.00023932,7.43E-05,0.001024054,0.002789826,0.006462315,0.0187948,0.04068874,0.08411254,0.1676309,0.3202449,0.5414369,0.8182598,1.118765,1.413862,1.67955,1.916616,2.126086,2.307109,2.468378,2.611354,2.733669,2.841727,2.935673,3.020712
